BeachID,Year,OpenBeach
A,1992,437.8
A,1993,423.6
A,1994,333.1
A,1995,287.4
A,1996,295.6
A,1998,201.8
A,1999,223.4
A,2001,162
A,2002,158.4
A,2003,89.5
A,2005,118.8
A,2006,87.7
A,2007,20.5
A,2008,39.8
A,2009,38.5
A,2010,32.4
A,2011,36.3
A,2012,27
A,2013,34.4
A,2014,21.1
B,1992,91.8
B,1993,121.9
B,1994,113.3
B,1995,57.3
B,1996,84.8
B,1998,96.5
B,1999,87.3
B,2001,100.6
B,2002,90.6
B,2003,55.8
B,2004,84.1
B,2005,83.6
B,2006,99
B,2007,91.3
B,2008,90.7
B,2009,89.9
B,2010,82.4
B,2011,92.7
B,2012,51.9
B,2013,73.9
B,2014,44
C,1992,205.8
C,1993,281.2
C,1994,238.9
C,1995,168.8
C,1996,195.6
C,1998,140.5
C,1999,179.1
C,2001,145.7
C,2002,156.2
C,2003,129.7
C,2004,113
C,2005,150.5
C,2006,234.6
C,2007,244
C,2008,156.6
C,2009,230.7
C,2010,103.9
C,2011,135.3
C,2012,54.3
C,2013,144.2
C,2014,134.8
